ID,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,genre,title,length,On air Status
815,White Chicks,PG-13,crude and sexual humor language and some drug content,80,2004,82,80,Comedy,White Chicks,1h49m,2004
900,Lucky Number Slevin,R,strong violence sexual content and adult language,100,2006,81,82,Crime,Lucky Number Slevin,1h50m,2006
827,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80,Romance,Grey's Anatomy,41m,On air 
882,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80,ActionandCrime,Prison Break,44m,2004-2017
778,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80,Comedy,How I Met Your Mother,22m,2005-2014
502,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80,FantasyandHorror,Supernatural,44m,On air 
843,Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97,80,Crime,Breaking Bad,49m,2008-2013
568,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80,FantasyandHorror,The Vampire Diaries,43m,2009-2017
873,The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80,Sci-Fi,The Walking Dead,44m,On air 
838,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80,Mystery,Pretty Little Liars,44m,2010-2017
920,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80,Fantasy,Once Upon a Time,1h,2011-2018
769,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80,Mystery,Sherlock,1h28m,2010-2017
644,Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77,80,AnimationandCrime,Death Note,24m,2006-2007
959,Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88,80,Animation,Naruto,24m,2007-2017
676,The Hunter,R,language and brief violence,100,2011,81,82,Thriller,The Hunter,1h40m,2011
663,Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,81,82,Animation,Lottie Dottie Chicken,1h24m,2009
556,Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96,80,ActionandCrime,Arrow,42m,On air 
514,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80,Sci-Fi,Black Mirror,1h,2011-2018
526,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80,FantasyandHorror,The Originals,45m,2013-2018
558,The 100,NR,This movie has not been rated.,124,2016,97,80,Mystery,The 100,43m,2014-2019
592,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80,Animation,Masha and the Bear,7m,2007-2019
574,ÌÒ Pai ÌÒ - Look at This,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,81,82,Musical,ÌÒ Pai ÌÒ - Look at This,1h36m,2007
967,Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,81,82,Drama,Nymphomaniac: Volume 1,1h57m,2013
765,Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57,80,Action,Hunter X Hunter (2011),24m,2011-2014
783,Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80,Action,Marvel's Luke Cage,55m,2016-2018
980,Marvel's Iron Fist,TV-MA,,110,2017,98,80,ActionAdventure,Marvel's Iron Fist,55m,2017-2018
553,Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94,80,Biography,Narcos,49m,2015-2017
902,The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80,Action,The Flash,43m,On air 
628,The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,82,Drama,The Seven Deadly Sins,43m,2014-2018
997,Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,82,Horror,Scream,45m,2015-2016
543,The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,80,ActionAdventure,The Do-Over,1h48m,2016
664,OperaÌ¤Ìµes Especiais,TV-MA,,110,2015,81,82,Action,OperaÌ¤Ìµes Especiais,1h39m,2015
793,3%,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,83,82,Action,3%,49m,2016-2018
853,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,81,80,Animation,Trollhunters,23m,2016-2018
607,Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,81,82,Crime,Fearless,45m,2017
913,Hyena Road,R,bloody war violence language throughout and some sexual material,100,2015,82,82,Action,Hyena Road,2h,2015
564,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80,Comedy,Santa Clarita Diet,30m,On air 
839,Sex Love and Therapy,NR,This movie has not been rated.,124,2014,81,82,Drama,Sex Love and Therapy,1h28m,2014
976,White Girl,UR,This movie has not been rated. Intended for adults only and may contain sex violence drugs language or other adult themes.,124,2016,94,82,Crime,White Girl,1h28m,2016
881,Girlboss,TV-MA,,110,2017,81,80,Comedy,Girlboss,26m,2017
772,City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,99,82,Documentary,City of God: 10 Years Later,1h10m,2014
892,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,89,80,Mystery,13 Reasons Why,1h,2017-2018
875,Sand Castle,TV-MA,,110,2017,81,80,Drama,Sand Castle,1h53m,2017
896,Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,92,82,Comedy,Salvador Martinha - Tip of the Tongue,1h5m,2016
