title,rating,ratingDescription,release year,user rating score,user rating size
White Chicks,PG-13,80,2004,82,80
Lucky Number Slevin,R,100,2006,81,82
Grey's A81tomy,TV-14,90,2016,98,80
Prison Break,TV-14,90,2008,98,80
How I Met Your Mother,TV-PG,70,2014,94,80
Super81tural,TV-14,90,2016,95,80
Breaking Bad,TV-MA,110,2013,97,80
The Vampire Diaries,TV-14,90,2017,91,80
The Walking Dead,TV-MA,110,2015,98,80
Pretty Little Liars,TV-14,90,2016,96,80
Once Upon a Time,TV-PG,70,2016,98,80
Sherlock,TV-14,90,2016,95,80
Death Note,TV-14,90,2006,77,80
81ruto,TV-PG,70,2008,88,80
The Hunter,R,100,2011,81,82
Lottie Dottie Chicken,TV-Y,10,2009,81,82
Arrow,TV-14,90,2015,96,80
Black Mirror,TV-MA,110,2016,80,80
The Origi81ls,TV-14,90,2016,74,80
The 100,NR,124,2016,97,80
Masha and the Bear,TV-Y,10,2013,81,80
"ÌÒ Pai, ÌÒ - Look at This",TV-MA,110,2007,81,82
Nymphomaniac: Volume 1,NR,124,2013,81,82
Hunter X Hunter (2011),NR,124,2013,57,80
Marvel's Luke Cage,TV-MA,110,2016,95,80
Marvel's Iron Fist,TV-MA,110,2017,98,80
81rcos,TV-MA,110,2016,94,80
The Flash,TV-PG,70,2016,98,80
The Seven Deadly Sins,TV-14,90,2016,81,82
Scream,TV-14,90,2016,81,82
The Do-Over,TV-MA,110,2016,84,80
OperaÌ¤Ìµes Especiais,TV-MA,110,2015,81,82
Trollhunters,TV-Y7-FV,42,2016,83,80
Fearless,TV-14,90,2016,81,82
Hye81 Road,R,100,2015,81,82
Santa Clarita Diet,TV-MA,110,2017,82,80
"Sex, Love and Therapy",NR,124,2014,81,82
White Girl,UR,124,2016,81,82
Girlboss,TV-MA,110,2017,94,80
City of God: 10 Years Later,TV-MA,110,2013,81,82
13 Reasons Why,TV-MA,110,2017,99,80
Sand Castle,TV-MA,110,2017,89,80
Salvador Martinha - Tip of the Tongue,TV-MA,110,2016,81,82
Sandy Wexler,TV-14,90,2017,92,80
O Amor no DivÌ£,TV-MA,110,2016,81,82
Stronger Than the World,NR,124,2016,81,82
Back and Forth,NR,124,2016,81,82
Happily Married,TV-14,90,2015,81,82
Pandora,TV-MA,110,2016,81,82
The Office (U.S.),TV-14,90,2012,97,80
Gossip Girl,TV-14,90,2012,96,80
Parks and Recreation,TV-14,90,2015,94,80
Glee,TV-PG,70,2015,92,80
Family Guy,TV-MA,110,2015,98,80
Crimi81l Minds,TV-14,90,2016,98,80
Friends,TV-14,90,2003,98,80
The Secret Life of the American Tee81ger,TV-14,90,2013,81,80
One Tree Hill,TV-14,90,2011,90,80
Shameless (U.S.),TV-MA,110,2016,97,80
New Girl,TV-14,90,2016,91,80
American Horror Story,TV-MA,110,2016,90,80
Orange Is the New Black,TV-MA,110,2016,98,80
Inside Russia's Toughest Prison,TV-14,90,2011,81,82
Bates Motel,TV-14,90,2016,83,80
Grace and Frankie,TV-MA,110,2017,90,80
How to Get Away with Murder,TV-14,90,2016,95,80
The Get Down,TV-MA,110,2017,80,80
Love,TV-MA,110,2017,81,82
The OA,TV-MA,110,2016,81,82
Stranger Things,TV-14,90,2016,90,80
Ingober81ble,TV-MA,110,2017,96,80
Zootopia,PG,60,2016,97,80
Meet the Blacks,R,100,2016,79,80
Finding Dory,PG,60,2016,98,80
Sausage Party,R,100,2016,91,80
Pete's Dragon,PG,60,2016,93,80
Kevin Hart: What Now?,R,100,2016,97,80
The Discovery,TV-MA,110,2017,81,82
Chewing Gum,TV-MA,110,2017,93,80
Cheer Squad,TV-PG,70,2016,61,80
Only for One Night,TV-MA,110,2016,78,80
The Life Aquatic with Steve Zissou,R,100,2004,81,82
The L Word,TV-MA,110,2009,81,82
30 Rock,TV-14,90,2012,66,80
Mad Men,TV-14,90,2014,75,80
It's Always Sunny in Philadelphia,TV-MA,110,2016,91,80
Californication,TV-MA,110,2014,63,80
Portlandia,TV-14,90,2016,62,80
Don't Trust the B---- in Apartment 23,TV-14,90,2012,81,82
Friends with Benefits,TV-14,90,2011,81,82
The Client List,TV-14,90,2013,92,80
Halt and Catch Fire,TV-14,90,2016,81,82
5 to 7,R,100,2014,81,82
Chef's Table,TV-MA,110,2017,81,82
Documentary Now!,TV-14,90,2016,81,82
Better Call Saul,TV-MA,110,2016,95,80
Schitt's Creek,TV-14,90,2016,74,80
Lovesick,TV-MA,110,2016,81,82
Flaked,TV-MA,110,2016,81,82
Master of None,TV-MA,110,2015,81,82
Chelsea,TV-MA,110,2017,81,82
Abstract: The Art of Design,TV-14,90,2017,81,82
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,81,82
The Great British Baking Show,TV-PG,70,2016,94,80
Life in Pieces,TV-14,90,2015,68,80
Crazy Ex-Girlfriend,TV-14,90,2017,81,82
Easy,TV-MA,110,2016,81,82
No Tomorrow,TV-14,90,2016,81,82
Minimalism: A Documentary About the Important Things,TV-PG,70,2016,81,82
Hot Girls Wanted: Turned On,TV-MA,110,2017,81,82
Win It All,TV-MA,110,2017,81,82
MerlÌ?,TV-PG,70,2015,81,82
Amy Schumer: The Leather Special,TV-MA,110,2017,81,82
Louis C.K. 2017,TV-MA,110,2017,71,80
Dave Chappelle,TV-MA,110,2017,94,80
Almost Adults,NR,124,2016,81,82
The Brothers,R,100,2001,81,82
Skins,TV-MA,110,2013,81,82
The Cleveland Show,TV-14,90,2012,88,80
Absolutely Fabulous,TV-14,90,2012,59,80
Raising Hope,TV-14,90,2013,73,80
Come Fly With Me,TV-14,90,2010,81,82
Brickleberry,TV-MA,110,2014,63,80
BoJack Horseman,TV-MA,110,2016,81,82
Being Mary Jane: The Series,TV-14,90,2016,81,82
Unbreakable Kimmy Schmidt,TV-14,90,2016,81,82
Bordertown,TV-14,90,2016,81,82
Jane The Virgin,TV-14,90,2016,86,80
Dope,TV-14,90,2016,91,80
The Carmichael Show,TV-14,90,2016,74,80
November Rule,R,100,2015,79,80
Haters Back Off,TV-MA,110,2016,81,82
Kubo and the Two Strings,TV-14,90,2016,69,80
A Weekend with the Family,TV-14,90,2016,81,82
Crazyhead,TV-PG,70,2016,94,80
Deidra & Laney Rob a Train,TV-14,90,2015,81,82
Honeytrap,TV-14,90,2015,68,80
Hurricane Bianca,TV-14,90,2017,81,82
Little Boxes,TV-MA,110,2016,81,82
Queen of Katwe,TV-14,90,2016,58,80
Greenleaf,PG,60,2016,96,80
Lazy Eye,TV-MA,110,2017,81,82
Like Cotton Twines,TV-MA,110,2016,81,82
The Wedding Party,TV-MA,110,2016,81,82
Boy Bye,PG,60,2016,81,81
81ncy Drew,TV-14,90,2016,61,80
Nurse Jackie,TV-14,90,2017,81,82
Drop Dead Diva,TV-MA,110,2016,81,82
Gilmore Girls,NR,124,2014,81,82
Parenthood,TV-14,90,2016,62,80
Life Unexpected,TV-MA,110,2016,81,82
Being Human (U.S.),NR,124,2016,81,82
The Carrie Diaries,TV-14,90,2016,81,82
Baby Daddy,TV-MA,110,2017,94,80
The Angriest Man in Brooklyn,TV-MA,110,2016,81,82
